date,weight
# Dates added sequentially from start 2025-06-01; NA (unrecorded) days skipped
# but still advance the calendar; blank week-separators removed.
2025-06-01,200.2
2025-06-02,199.0
2025-06-03,198.3
2025-06-07,196.5
2025-06-08,195.0
2025-06-09,194.4
2025-06-10,194.6
2025-06-11,195.3
2025-06-12,194.9
2025-06-13,194.6
2025-06-15,193.7
2025-06-16,194.0
2025-06-17,193.7
2025-06-18,193.9
2025-06-19,193.8
2025-06-20,193.5
2025-06-21,194.4
2025-06-22,193.8
2025-06-23,194.3
2025-06-24,193.3
2025-06-25,193.6
2025-06-26,193.2
2025-06-27,192.6
2025-06-28,193.7
2025-06-29,191.8
2025-06-30,191.4
2025-07-01,190.6
2025-07-02,189.8
2025-07-03,189.6
2025-07-04,190.4
2025-07-05,190.6
2025-07-06,191.2
2025-07-07,191.6
2025-07-08,191.8
2025-07-09,190.8
2025-07-10,192.6
2025-07-11,190.4
2025-07-12,191.7
2025-07-13,190.6
2025-07-14,192.8
2025-07-15,191.1
2025-07-16,190.6
2025-07-17,189.0
2025-07-18,189.9
2025-07-19,192.4
2025-07-20,193.6
2025-07-21,191.4
2025-07-22,189.5
2025-07-23,189.7
2025-07-24,189.9
2025-07-25,188.8
2025-07-26,192.5
2025-07-27,194.4
2025-07-28,193.9
2025-07-29,191.2
2025-07-30,191.9
2025-07-31,190.8
2025-08-01,190.7
2025-08-04,189.4
2025-08-05,186.6
2025-08-06,186.1
2025-08-07,186.3
2025-08-08,188.5
2025-08-09,186.4
